Name	Raw_1	Raw_2	Derep_1	Derep_2	Bmtagger_1	Bmtagger_2	Trimmo_1	Trimmo_2	Trimmo_solo_1	Trimmo_solo_2
SRR2187355	5927272.0	5927272.0	5917097.0	5917097.0	5915330.0	5915330.0	4451229.0	4451229.0	483452.0	201935.0
SRR2189226	5311341.0	5311341.0	5303263.0	5303263.0	5302470.0	5302470.0	4058567.0	4058567.0	434788.0	173249.0
SRR2187351	5885026.0	5885026.0	5875585.0	5875585.0	5874473.0	5874473.0	4318619.0	4318619.0	493808.0	194803.0
SRR2187352	550378.0	550378.0	549657.0	549657.0	420532.0	420532.0	229396.0	229396.0	31491.0	10133.0
SRR2193858	5593418.0	5593418.0	5583851.0	5583851.0	5583007.0	5583007.0	4210382.0	4210382.0	460024.0	175007.0
SRR2193432	5829813.0	5829813.0	5819952.0	5819952.0	5818042.0	5818042.0	4346277.0	4346277.0	471803.0	193218.0
SRR2187350	5355068.0	5355068.0	5346971.0	5346971.0	5345178.0	5345178.0	3998401.0	3998401.0	429024.0	186711.0
SRR2193525	6239130.0	6239130.0	6226311.0	6226311.0	6224418.0	6224418.0	4703116.0	4703116.0	490181.0	211815.0
SRR2187353	6750012.0	6750012.0	6738977.0	6738977.0	6737433.0	6737433.0	5008283.0	5008283.0	595706.0	220377.0
SRR2193766	5187040.0	5187040.0	5177832.0	5177832.0	5176843.0	5176843.0	3960433.0	3960433.0	408035.0	172781.0
SRR2189225	6252662.0	6252662.0	6241948.0	6241948.0	6240625.0	6240625.0	4691239.0	4691239.0	485526.0	213448.0
SRR2193919	6272519.0	6272519.0	6260111.0	6260111.0	6258418.0	6258418.0	4740376.0	4740376.0	485723.0	209693.0
SRR2187349	348291.0	348291.0	347952.0	347952.0	215598.0	215598.0	73032.0	73032.0	13391.0	3969.0
SRR2187348	7387099.0	7387099.0	7372082.0	7372082.0	7368475.0	7368475.0	5312151.0	5312151.0	612289.0	268704.0
SRR2187356	4964116.0	4964116.0	4956618.0	4956618.0	4952108.0	4952108.0	3650901.0	3650901.0	414312.0	160727.0
SRR2187354	6060648.0	6060648.0	6052026.0	6052026.0	6049218.0	6049218.0	4462770.0	4462770.0	488138.0	204728.0
