Assay_Type	AvgSpotLen	BioSample	Center_Name	DATASTORE_filetype	Experiment	InsertSize	Instrument	Isolate	LibrarySelection	LibrarySource	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	collection_date	flowcell_barcode	geographic_location_country_and_or_sea_region	gssr_id	instrument_name	isolation_source	lane	lsid	product_order	project	read_group_id	root_sample_id	run_barcode	run_name	sample_id	specific_host	work_request	BioProject	Consent	DATASTORE_provider	LibraryLayout	Platform	SRA_Study
WGS	202	SAMN02334008	BI	sra	SRX343381	200	Illumina HiSeq 2000	NV.HB.AST	RANDOM	METAGENOMIC	Pond-221505	2015-08-27	720	473	gut metagenome	2015-08-27	SRR2187142	SRS475941	NV.HB.AST	missing	D246PACXX	missing	290207.0	SL-HAY	Stool	1	broadinstitute.org:bsp.prod.sample:3VVV6	PDO-309	G30365	D246P.1	SM-3NFL1	D246PACXX130420	130420_SL-HAY_0266_BFCD246PACXX	SM-3VVV6	missing	35154	PRJNA217052	public	ncbi	PAIRED	ILLUMINA	SRP029441
WGS	202	SAMN02334008	BI	sra	SRX343381	200	Illumina HiSeq 2000	NV.HB.AST	RANDOM	METAGENOMIC	Pond-221505	2015-08-27	731	481	gut metagenome	2015-08-27	SRR2187143	SRS475941	NV.HB.AST	missing	D246PACXX	missing	290207.0	SL-HAY	Stool	7	broadinstitute.org:bsp.prod.sample:3VVV6	PDO-309	G30365	D246P.7	SM-3NFL1	D246PACXX130420	130420_SL-HAY_0266_BFCD246PACXX	SM-3VVV6	missing	35154	PRJNA217052	public	ncbi	PAIRED	ILLUMINA	SRP029441
WGS	202	SAMN02334008	BI	sra	SRX343381	200	Illumina HiSeq 2000	NV.HB.AST	RANDOM	METAGENOMIC	Pond-221505	2015-08-27	722	464	gut metagenome	2015-08-27	SRR2187144	SRS475941	NV.HB.AST	missing	D246PACXX	missing	290207.0	SL-HAY	Stool	3	broadinstitute.org:bsp.prod.sample:3VVV6	PDO-309	G30365	D246P.3	SM-3NFL1	D246PACXX130420	130420_SL-HAY_0266_BFCD246PACXX	SM-3VVV6	missing	35154	PRJNA217052	public	ncbi	PAIRED	ILLUMINA	SRP029441
WGS	202	SAMN02334008	BI	sra	SRX343381	200	Illumina HiSeq 2000	NV.HB.AST	RANDOM	METAGENOMIC	Pond-221505	2015-08-27	725	468	gut metagenome	2015-08-27	SRR2187145	SRS475941	NV.HB.AST	missing	D246PACXX	missing	290207.0	SL-HAY	Stool	4	broadinstitute.org:bsp.prod.sample:3VVV6	PDO-309	G30365	D246P.4	SM-3NFL1	D246PACXX130420	130420_SL-HAY_0266_BFCD246PACXX	SM-3VVV6	missing	35154	PRJNA217052	public	ncbi	PAIRED	ILLUMINA	SRP029441
WGS	202	SAMN02334008	BI	sra	SRX343381	200	Illumina HiSeq 2000	NV.HB.AST	RANDOM	METAGENOMIC	Pond-221505	2015-08-27	715	466	gut metagenome	2015-08-27	SRR2187146	SRS475941	NV.HB.AST	missing	D246PACXX	missing	290207.0	SL-HAY	Stool	6	broadinstitute.org:bsp.prod.sample:3VVV6	PDO-309	G30365	D246P.6	SM-3NFL1	D246PACXX130420	130420_SL-HAY_0266_BFCD246PACXX	SM-3VVV6	missing	35154	PRJNA217052	public	ncbi	PAIRED	ILLUMINA	SRP029441
WGS	202	SAMN02334008	BI	sra	SRX343381	200	Illumina HiSeq 2000	NV.HB.AST	RANDOM	METAGENOMIC	Pond-221505	2015-08-27	722	468	gut metagenome	2015-08-27	SRR2187147	SRS475941	NV.HB.AST	missing	D246PACXX	missing	290207.0	SL-HAY	Stool	5	broadinstitute.org:bsp.prod.sample:3VVV6	PDO-309	G30365	D246P.5	SM-3NFL1	D246PACXX130420	130420_SL-HAY_0266_BFCD246PACXX	SM-3VVV6	missing	35154	PRJNA217052	public	ncbi	PAIRED	ILLUMINA	SRP029441
WGS	202	SAMN02334008	BI	sra	SRX343381	200	Illumina HiSeq 2000	NV.HB.AST	RANDOM	METAGENOMIC	Pond-221505	2015-08-27	721	470	gut metagenome	2015-08-27	SRR2187148	SRS475941	NV.HB.AST	missing	D246PACXX	missing	290207.0	SL-HAY	Stool	2	broadinstitute.org:bsp.prod.sample:3VVV6	PDO-309	G30365	D246P.2	SM-3NFL1	D246PACXX130420	130420_SL-HAY_0266_BFCD246PACXX	SM-3VVV6	missing	35154	PRJNA217052	public	ncbi	PAIRED	ILLUMINA	SRP029441
WGS	202	SAMN02334246	BI	sra	SRX343886	200	Illumina HiSeq 2000	HUGE-08-02.ST	RANDOM	METAGENOMIC	Pond-224263	2015-08-27	1423	967	gut metagenome	2015-08-27	SRR2187348	SRS475574	HUGE-08-02.ST	missing	C1K43ACXX	missing	292863.0	SL-HAY	Stool	2	broadinstitute.org:bsp.prod.sample:3WLG1	PDO-308	G31299	C1K43.2	SM-3NQEL	C1K43ACXX130219	130219_SL-HAY_0249_AFCC1K43ACXX	SM-3WLG1	missing	35334	PRJNA217052	public	ncbi	PAIRED	ILLUMINA	SRP029441
WGS	202	SAMN02334228	BI	sra	SRX347000	200	Illumina HiSeq 2000	HUGE-B-09-08.ST	RANDOM	METAGENOMIC	Pond-224250	2015-08-27	67	37	gut metagenome	2015-08-27	SRR2187349	SRS476611	HUGE-B-09-08.ST	missing	C1K43ACXX	missing	292851.0	SL-HAY	Stool	2	broadinstitute.org:bsp.prod.sample:3WLFN	PDO-308	G31287	C1K43.2	SM-3NQF4	C1K43ACXX130219	130219_SL-HAY_0249_AFCC1K43ACXX	SM-3WLFN	missing	35334	PRJNA217052	public	ncbi	PAIRED	ILLUMINA	SRP029441
WGS	202	SAMN02334201	BI	sra	SRX347132	200	Illumina HiSeq 2000	HUGE-05-23.ST	RANDOM	METAGENOMIC	Pond-224243	2015-08-27	1031	704	gut metagenome	2015-08-27	SRR2187350	SRS476838	HUGE-05-23.ST	missing	C1K43ACXX	missing	292845.0	SL-HAY	Stool	2	broadinstitute.org:bsp.prod.sample:3WLFG	PDO-308	G31281	C1K43.2	SM-3NF7D	C1K43ACXX130219	130219_SL-HAY_0249_AFCC1K43ACXX	SM-3WLFG	missing	35334	PRJNA217052	public	ncbi	PAIRED	ILLUMINA	SRP029441
WGS	202	SAMN02334226	BI	sra	SRX346867	200	Illumina HiSeq 2000	HUGE-10-06.ST	RANDOM	METAGENOMIC	Pond-224257	2015-08-27	1133	771	gut metagenome	2015-08-27	SRR2187351	SRS476520	HUGE-10-06.ST	missing	C1K43ACXX	missing	292858.0	SL-HAY	Stool	2	broadinstitute.org:bsp.prod.sample:3WLFU	PDO-308	G31294	C1K43.2	SM-3NQEW	C1K43ACXX130219	130219_SL-HAY_0249_AFCC1K43ACXX	SM-3WLFU	missing	35334	PRJNA217052	public	ncbi	PAIRED	ILLUMINA	SRP029441
WGS	202	SAMN02334207	BI	sra	SRX346940	200	Illumina HiSeq 2000	HUGE-B-09-12.ST	RANDOM	METAGENOMIC	Pond-224237	2015-08-27	106	63	gut metagenome	2015-08-27	SRR2187352	SRS476194	HUGE-B-09-12.ST	missing	C1K43ACXX	missing	292840.0	SL-HAY	Stool	2	broadinstitute.org:bsp.prod.sample:3WLFA	PDO-308	G31276	C1K43.2	SM-3NQF8	C1K43ACXX130219	130219_SL-HAY_0249_AFCC1K43ACXX	SM-3WLFA	missing	35334	PRJNA217052	public	ncbi	PAIRED	ILLUMINA	SRP029441
WGS	202	SAMN02334288	BI	sra	SRX345919	200	Illumina HiSeq 2000	HUGE-05-18.ST	RANDOM	METAGENOMIC	Pond-224218	2015-08-27	1300	890	gut metagenome	2015-08-27	SRR2187353	SRS476259	HUGE-05-18.ST	missing	C1K43ACXX	missing	292822.0	SL-HAY	Stool	2	broadinstitute.org:bsp.prod.sample:3WLEQ	PDO-308	G31258	C1K43.2	SM-3NF78	C1K43ACXX130219	130219_SL-HAY_0249_AFCC1K43ACXX	SM-3WLEQ	missing	35334	PRJNA217052	public	ncbi	PAIRED	ILLUMINA	SRP029441
WGS	202	SAMN02334199	BI	sra	SRX346961	200	Illumina HiSeq 2000	HUGE-05-20.ST	RANDOM	METAGENOMIC	Pond-224220	2015-08-27	1167	794	gut metagenome	2015-08-27	SRR2187354	SRS476339	HUGE-05-20.ST	missing	C1K43ACXX	missing	292823.0	SL-HAY	Stool	2	broadinstitute.org:bsp.prod.sample:3WLES	PDO-308	G31259	C1K43.2	SM-3NF7A	C1K43ACXX130219	130219_SL-HAY_0249_AFCC1K43ACXX	SM-3WLES	missing	35334	PRJNA217052	public	ncbi	PAIRED	ILLUMINA	SRP029441
WGS	202	SAMN02334293	BI	sra	SRX343497	200	Illumina HiSeq 2000	HUGE-B-09-14.ST	RANDOM	METAGENOMIC	Pond-224232	2015-08-27	1141	782	gut metagenome	2015-08-27	SRR2187355	SRS476023	HUGE-B-09-14.ST	missing	C1K43ACXX	missing	292835.0	SL-HAY	Stool	2	broadinstitute.org:bsp.prod.sample:3WLF5	PDO-308	G31271	C1K43.2	SM-3NQFA	C1K43ACXX130219	130219_SL-HAY_0249_AFCC1K43ACXX	SM-3WLF5	missing	35334	PRJNA217052	public	ncbi	PAIRED	ILLUMINA	SRP029441
WGS	202	SAMN02333957	BI	sra	SRX344181	200	Illumina HiSeq 2000	M1.7.ST	RANDOM	METAGENOMIC	Pond-222351	2015-08-27	550	369	gut metagenome	2015-08-27	SRR2187395	SRS476077	M1.7.ST	missing	D2464ACXX	missing	290500.0	SL-HAY	Stool	7	broadinstitute.org:bsp.prod.sample:3VWMA	PDO-310	G30462	D2464.7	SM-3NFOE	D2464ACXX130420	130420_SL-HAY_0265_AFCD2464ACXX	SM-3VWMA	missing	35191	PRJNA217052	public	ncbi	PAIRED	ILLUMINA	SRP029441
