Scaffolds	Split Site 1	Split Site 2	Supporting Split Reads	Supporting Read Pairs(first in pair)
BACT_191|gi|223713124|gb|ACDR01000053.1|	303	41309	SRR2193858.1045841.1,SRR2193858.2892547.1,SRR2193858.3459153.1,SRR2193858.3750072.1,SRR2193858.3981345.1,SRR2193858.450567.1,SRR2193858.4814072.1,SRR2193858.5366291.1,SRR2193858.5416184.1,SRR2193858.1656702.2,SRR2193858.2089253.2,SRR2193858.2156961.2,SRR2193858.408892.2,SRR2193858.4814072.2	SRR2193858.1656702,SRR2193858.2156961,SRR2193858.2749785,SRR2193858.3224830,SRR2193858.2216484
BACT_183|gi|197304092|ref|NZ_ABQC02000012.1|	89508	95952	SRR2193858.2616263.1,SRR2193858.324512.1,SRR2193858.3989583.1,SRR2193858.475488.1,SRR2193858.4895304.1,SRR2193858.2385299.2,SRR2193858.279097.2,SRR2193858.3814351.2,SRR2193858.475488.2,SRR2193858.4798255.2,SRR2193858.5145811.2,SRR2193858.945413.2	SRR2193858.5154812,SRR2193858.1145095,SRR2193858.1785991,SRR2193858.4077276,SRR2193858.1066738,SRR2193858.1739195,SRR2193858.279097,SRR2193858.2385299
BACT_178|gi|239514054|ref|NZ_ABXI02000009.1|	2890	4312	SRR2193858.1153970.1,SRR2193858.2684340.2,SRR2193858.2946116.2,SRR2193858.3302364.2	
BACT_183|gi|197304099|ref|NZ_ABQC02000019.1|	218067	219572	SRR2193858.1531544.1,SRR2193858.1681403.1,SRR2193858.17464.1,SRR2193858.199377.1,SRR2193858.241191.1,SRR2193858.3328337.1,SRR2193858.4815161.1,SRR2193858.553157.1,SRR2193858.764597.1,SRR2193858.17464.2,SRR2193858.199377.2,SRR2193858.2833660.2,SRR2193858.3378817.2,SRR2193858.3780642.2,SRR2193858.3817976.2,SRR2193858.42037.2,SRR2193858.4258181.2	SRR2193858.4280970,SRR2193858.3139446,SRR2193858.1237290,SRR2193858.3378817
BACT_53|gi|163813822|ref|NZ_ABFK02000020.1|	510138	511403	SRR2193858.1243091.1,SRR2193858.2652278.1,SRR2193858.4170602.1,SRR2193858.2652278.2,SRR2193858.2877968.2,SRR2193858.4170602.2	SRR2193858.1805142
BACT_183|gi|197304103|ref|NZ_ABQC02000023.1|	342945	344400	SRR2193858.293311.1,SRR2193858.3347230.1,SRR2193858.3903848.1,SRR2193858.4349228.1,SRR2193858.4804914.1,SRR2193858.5124077.1,SRR2193858.5172954.1,SRR2193858.5243725.1,SRR2193858.5566942.1,SRR2193858.1501427.2,SRR2193858.1543320.2,SRR2193858.2156525.2,SRR2193858.268909.2,SRR2193858.2990124.2,SRR2193858.3290241.2,SRR2193858.373557.2,SRR2193858.4564362.2,SRR2193858.467209.2,SRR2193858.5480237.2,SRR2193858.5498249.2,SRR2193858.5566942.2,SRR2193858.678127.2	SRR2193858.1284589,SRR2193858.467209,SRR2193858.4861593,SRR2193858.4992319,SRR2193858.1166099,SRR2193858.2156525
BACT_183|gi|197304092|ref|NZ_ABQC02000012.1|	154577	170381	SRR2193858.3260648.1,SRR2193858.361997.1,SRR2193858.5214393.1,SRR2193858.5359760.1,SRR2193858.1075073.2,SRR2193858.2728270.2,SRR2193858.3323444.2,SRR2193858.4020959.2,SRR2193858.4093334.2,SRR2193858.4185319.2,SRR2193858.5063668.2,SRR2193858.5325464.2,SRR2193858.5359760.2,SRR2193858.733960.2	SRR2193858.3072488,SRR2193858.5144231,SRR2193858.465976
BACT_546|gi|160944354|ref|NZ_ABED02000027.1|	55816	57280	SRR2193858.1279221.1,SRR2193858.2587400.1,SRR2193858.452112.1,SRR2193858.646942.1,SRR2193858.1279221.2,SRR2193858.2587400.2	SRR2193858.1445433
BACT_183|gi|197304096|ref|NZ_ABQC02000016.1|	175775	189021	SRR2193858.1142819.1,SRR2193858.2186634.1,SRR2193858.2245271.1,SRR2193858.2520234.1,SRR2193858.3108763.1,SRR2193858.3336755.1,SRR2193858.424761.1,SRR2193858.4467061.1,SRR2193858.4687060.1,SRR2193858.5573044.1,SRR2193858.950810.1,SRR2193858.163222.2,SRR2193858.17687.2,SRR2193858.214031.2,SRR2193858.2245271.2,SRR2193858.2520234.2,SRR2193858.281319.2,SRR2193858.3336755.2,SRR2193858.341308.2,SRR2193858.3548198.2,SRR2193858.3966484.2,SRR2193858.424761.2,SRR2193858.4521271.2	SRR2193858.341308,SRR2193858.4859274,SRR2193858.3548198,SRR2193858.1591078,SRR2193858.2915301,SRR2193858.5440494,SRR2193858.281319,SRR2193858.2957306,SRR2193858.3374753,SRR2193858.4521271,SRR2193858.214031
BACT_183|gi|197304104|ref|NZ_ABQC02000024.1|	601344	602848	SRR2193858.1117737.1,SRR2193858.1599446.1,SRR2193858.2105093.1,SRR2193858.2332087.1,SRR2193858.2638736.1,SRR2193858.3306344.1,SRR2193858.4103086.1,SRR2193858.4760858.1,SRR2193858.4813293.1,SRR2193858.5132567.1,SRR2193858.5169721.1,SRR2193858.705460.1,SRR2193858.718842.1,SRR2193858.1039006.2,SRR2193858.1300354.2,SRR2193858.1506893.2,SRR2193858.1599446.2,SRR2193858.3269100.2,SRR2193858.4103086.2,SRR2193858.4540997.2,SRR2193858.4760858.2,SRR2193858.476856.2,SRR2193858.4999677.2,SRR2193858.5290270.2	SRR2193858.5493438,SRR2193858.4947714,SRR2193858.4799966,SRR2193858.1300354,SRR2193858.1039006,SRR2193858.158185,SRR2193858.476856,SRR2193858.16661,SRR2193858.5562289,SRR2193858.3493499,SRR2193858.2123721,SRR2193858.3269100,SRR2193858.4999677
BACT_181|gi|145220601|ref|NZ_AAXF02000054.1|	904697	923912	SRR2193858.1093753.1,SRR2193858.1093753.2,SRR2193858.153957.2,SRR2193858.1694270.2	SRR2193858.1485948,SRR2193858.153957
BACT_183|gi|197304099|ref|NZ_ABQC02000019.1|	405910	407414	SRR2193858.1329380.1,SRR2193858.1651720.1,SRR2193858.2380274.1,SRR2193858.3900636.1,SRR2193858.4894963.1,SRR2193858.516104.1,SRR2193858.5217496.1,SRR2193858.834701.1,SRR2193858.1298352.2,SRR2193858.1651720.2,SRR2193858.244361.2,SRR2193858.3276978.2,SRR2193858.347473.2,SRR2193858.3782696.2,SRR2193858.4503520.2,SRR2193858.5217496.2	SRR2193858.5496188,SRR2193858.470351,SRR2193858.3276978,SRR2193858.244361,SRR2193858.1199839,SRR2193858.587875,SRR2193858.2791082,SRR2193858.1598907,SRR2193858.2255036
BACT_183|gi|197304103|ref|NZ_ABQC02000023.1|	109289	110794	SRR2193858.1267238.1,SRR2193858.1385242.1,SRR2193858.1632354.1,SRR2193858.1738481.1,SRR2193858.2930607.1,SRR2193858.3364095.1,SRR2193858.4123168.1,SRR2193858.469505.1,SRR2193858.4827542.1,SRR2193858.2350109.2,SRR2193858.2930607.2,SRR2193858.4186206.2,SRR2193858.5234719.2,SRR2193858.543435.2	SRR2193858.3129101,SRR2193858.2901448,SRR2193858.1174870,SRR2193858.3591969,SRR2193858.3241157,SRR2193858.4186206
BACT_183|gi|197304083|ref|NZ_ABQC02000003.1|	84760	86264	SRR2193858.1096022.1,SRR2193858.1932118.1,SRR2193858.2192000.1,SRR2193858.3092171.1,SRR2193858.3148271.1,SRR2193858.361326.1,SRR2193858.366321.1,SRR2193858.4221013.1,SRR2193858.5370360.1,SRR2193858.1096022.2,SRR2193858.1835616.2,SRR2193858.2034971.2,SRR2193858.2192000.2,SRR2193858.3092171.2,SRR2193858.3556518.2,SRR2193858.3683307.2,SRR2193858.3884693.2,SRR2193858.4108611.2,SRR2193858.4146222.2,SRR2193858.4221013.2,SRR2193858.5034351.2,SRR2193858.5370360.2	SRR2193858.4083378,SRR2193858.1835616
BACT_183|gi|197304104|ref|NZ_ABQC02000024.1|	231114	232619	SRR2193858.2389138.1,SRR2193858.1047640.2,SRR2193858.1285293.2,SRR2193858.1331160.2,SRR2193858.1622137.2,SRR2193858.2916848.2,SRR2193858.3013394.2,SRR2193858.3922020.2,SRR2193858.4759560.2,SRR2193858.5368349.2	SRR2193858.2380983,SRR2193858.4759560,SRR2193858.5161827,SRR2193858.3167585,SRR2193858.5175245,SRR2193858.5368349,SRR2193858.1036156
