Scaffolds	Split Site 1	Split Site 2	Supporting Split Reads	Supporting Read Pairs(first in pair)
BACT_1002|gi|224993852|ref|NZ_ACFY01000161.1|	5930	7460	SRR2187351.3495800.1,SRR2187351.4308442.1,SRR2187351.2344727.2,SRR2187351.3275195.2	SRR2187351.3464494,SRR2187351.763153,SRR2187351.3525427,SRR2187351.3275195,SRR2187351.2344727
BACT_418|gi|139436870|ref|NZ_AAVN02000001.1|	376164	377526	SRR2187351.2460794.1,SRR2187351.3196708.1,SRR2187351.2460794.2,SRR2187351.591718.2	
BACT_1002|gi|224993804|ref|NZ_ACFY01000113.1|	10340	12683	SRR2187351.1677781.1,SRR2187351.2316649.1,SRR2187351.1270530.2,SRR2187351.1677781.2,SRR2187351.3765142.2	SRR2187351.1270530
BACT_539|gi|238922432|ref|NC_012781.1|	696646	739525	SRR2187351.1333490.1,SRR2187351.2183136.1,SRR2187351.3753737.1,SRR2187351.734778.1,SRR2187351.1643415.2,SRR2187351.2231225.2,SRR2187351.2937253.2,SRR2187351.545875.2,SRR2187351.79616.2	SRR2187351.588437,SRR2187351.5075764,SRR2187351.2937253
BACT_424|gi|224983091|ref|NZ_ABVR01000037.1|	143236	148598	SRR2187351.260958.1,SRR2187351.5189170.1,SRR2187351.5672411.1,SRR2187351.5672411.2	
BACT_539|gi|238922432|ref|NC_012781.1|	2043282	2044621	SRR2187351.13822.1,SRR2187351.3278049.1,SRR2187351.431725.1,SRR2187351.4358464.1,SRR2187351.772860.1,SRR2187351.13822.2,SRR2187351.2138194.2,SRR2187351.2585003.2,SRR2187351.3278049.2,SRR2187351.4054972.2,SRR2187351.772860.2	
BACT_1002|gi|224993804|ref|NZ_ACFY01000113.1|	12952	49601	SRR2187351.1221946.1,SRR2187351.1515831.1,SRR2187351.3387542.1,SRR2187351.426341.2,SRR2187351.5454032.2	SRR2187351.5454032
BACT_1002|gi|224993834|ref|NZ_ACFY01000143.1|	25688	26986	SRR2187351.3079791.1,SRR2187351.5318157.1,SRR2187351.5751012.1,SRR2187351.5751012.2	
BACT_539|gi|238922432|ref|NC_012781.1|	1493480	1495385	SRR2187351.1594205.1,SRR2187351.180426.1,SRR2187351.1893193.1,SRR2187351.2646942.1,SRR2187351.2648540.1,SRR2187351.2876067.1,SRR2187351.5569570.1,SRR2187351.2639116.2,SRR2187351.2876067.2,SRR2187351.3138939.2,SRR2187351.4119254.2,SRR2187351.5029485.2,SRR2187351.5129361.2,SRR2187351.5569570.2	SRR2187351.4222233,SRR2187351.3005729,SRR2187351.3687251,SRR2187351.434700
BACT_196|gi|150002608|ref|NC_009614.1|	1646547	1649077	SRR2187351.1355421.1,SRR2187351.1497067.1,SRR2187351.1577746.1,SRR2187351.2176125.1,SRR2187351.2916516.1,SRR2187351.4253852.1,SRR2187351.4339732.1,SRR2187351.4654322.1,SRR2187351.1497067.2,SRR2187351.4339732.2,SRR2187351.4414397.2,SRR2187351.5223986.2,SRR2187351.774894.2	SRR2187351.1152174,SRR2187351.4414397
