"","SRR","Date","Candidate","Scaffolds","Split.Site.1","Split.Site.2","Supporting.Split.Reads","Supporting.Read.Pairs.first.in.pair."
"205","SRR2194980","2013-05-12","A",NA,NA,NA,NA,NA
"280","SRR2232428","2013-05-12","A",NA,NA,NA,NA,NA
"281","SRR2232385","2013-05-12","A",NA,NA,NA,NA,NA
"282","SRR2232011","2013-05-12","A",NA,NA,NA,NA,NA
"283","SRR2231335","2013-05-12","A",NA,NA,NA,NA,NA
"129","SRR2189226","2013-05-13","A","BACT_194|gi|163805994|ref|NZ_ABFZ02000020.1|",659146,660471,"SRR2189226.473608.1,SRR2189226.2958887.2,SRR2189226.4379717.2,SRR2189226.53952.2","SRR2189226.2166419,SRR2189226.605837,SRR2189226.394353,SRR2189226.2958887"
"130","SRR2189226","2013-05-13","A","BACT_539|gi|238922432|ref|NC_012781.1|",1636183,1637336,"SRR2189226.219227.1,SRR2189226.4257055.1,SRR2189226.3151324.2,SRR2189226.5144673.2","SRR2189226.5144673"
"131","SRR2189226","2013-05-13","A","BACT_194|gi|163805994|ref|NZ_ABFZ02000020.1|",325232,326695,"SRR2189226.4762872.1,SRR2189226.580525.1,SRR2189226.1872388.2,SRR2189226.3792615.2,SRR2189226.580525.2,SRR2189226.812563.2",""
"132","SRR2189226","2013-05-13","A","BACT_196|gi|150002608|ref|NC_009614.1|",1646547,1649077,"SRR2189226.1280396.1,SRR2189226.1428638.1,SRR2189226.1583816.1,SRR2189226.1697446.1,SRR2189226.201150.1,SRR2189226.2477157.1,SRR2189226.3078995.1,SRR2189226.3084705.1,SRR2189226.4336946.1,SRR2189226.4975941.1,SRR2189226.5199841.1,SRR2189226.1881941.2,SRR2189226.401617.2,SRR2189226.4936025.2,SRR2189226.5199841.2,SRR2189226.5202386.2,SRR2189226.5221880.2","SRR2189226.5019261,SRR2189226.5221880"
"133","SRR2189226","2013-05-13","A","BACT_1002|gi|224993784|ref|NZ_ACFY01000093.1|",10027,11134,"SRR2189226.3583667.1,SRR2189226.5248083.1,SRR2189226.1324304.2,SRR2189226.5127012.2",""
"134","SRR2189226","2013-05-13","A","BACT_1312|gi|293371863|ref|NZ_ADMO01000094.1|",15204,17309,"SRR2189226.1078066.1,SRR2189226.2218039.1,SRR2189226.1078066.2,SRR2189226.2218039.2",""
"135","SRR2189226","2013-05-13","A","BACT_539|gi|238922432|ref|NC_012781.1|",1126899,1128826,"SRR2189226.145423.1,SRR2189226.28187.1,SRR2189226.2895460.1,SRR2189226.2895460.2,SRR2189226.3791919.2","SRR2189226.3939702,SRR2189226.1412552,SRR2189226.5127972,SRR2189226.145040,SRR2189226.3713061"
"136","SRR2189226","2013-05-13","A","BACT_183|gi|197304101|ref|NZ_ABQC02000021.1|",184865,186761,"SRR2189226.1484010.1,SRR2189226.1771300.1,SRR2189226.2724951.1,SRR2189226.2635865.2,SRR2189226.2803854.2","SRR2189226.2635865"
"137","SRR2189226","2013-05-13","A","BACT_194|gi|163805997|ref|NZ_ABFZ02000023.1|",438325,439650,"SRR2189226.1723676.1,SRR2189226.3613001.1,SRR2189226.4773578.2,SRR2189226.646434.2","SRR2189226.4445894"
